band,enabled,minfreqR1,maxfreqR1,minfreqR2,maxfreqR2,minfreqR3,maxfreqR3,sat_mode
2190m,TRUE,135700,137800,135700,137800,135700,137800,
630m,TRUE,472000,479000,472000,479000,472000,479000,
560m,TRUE,501000,504000,501000,504000,501000,504000,
160m,TRUE,1810000,2000000,1800000,2000000,1800000,2000000,
80m,TRUE,3500000,3800000,3500000,4000000,3500000,3900000,
60m,TRUE,5351500,5357000,5330500,5406500,5351500,5360000,
40m,TRUE,7000000,7200000,7000000,7300000,7000000,7200000,
30m,TRUE,10100000,10150000,10100000,10150000,10100000,10150000,
20m,TRUE,14000000,14350000,14000000,14350000,14000000,14350000,
17m,TRUE,18068000,18168000,18068000,18168000,18068000,18168000,
15m,TRUE,21000000,21450000,21000000,21450000,21000000,21450000,H
12m,TRUE,24890000,24990000,24890000,24990000,24890000,24990000,
10m,TRUE,28000000,29700000,28000000,29700000,28000000,29700000,A
8m,TRUE,40660000,40700000,40660000,40700000,40660000,40700000,
6m,TRUE,50000000,54000000,50000000,54000000,50000000,54000000,
5m,TRUE,54000001,69900000,54000001,69900000,54000001,69900000,
4m,TRUE,70000000,70500000,70000000,71000000,70000000,70500000,
2m,TRUE,144000000,148000000,144000000,148000000,144000000,148000000,V
1.25m,TRUE,222000000,225000000,222000000,225000000,222000000,225000000,
70cm,TRUE,430000000,440000000,420000000,450000000,430000000,440000000,U
33cm,TRUE,902000000,928000000,902000000,928000000,902000000,928000000,
23cm,TRUE,1240000000,1300000000,1240000000,1300000000,1240000000,1300000000,L
13cm,TRUE,2300000000,2450000000,2300000000,2450000000,2300000000,2450000000,S
9cm,TRUE,3300000000,3500000000,3300000000,3500000000,3300000000,3500000000,S2
6cm,TRUE,5650000000,5925000000,5650000000,5925000000,5650000000,5925000000,C
3cm,TRUE,10000000000,10500000000,10000000000,10500000000,10000000000,10500000000,X
1.25cm,TRUE,24000000000,24250000000,24000000000,24250000000,24000000000,24250000000,K
6mm,TRUE,47000000000,47200000000,47000000000,47200000000,47000000000,47200000000,R
4mm,TRUE,75500000000,81000000000,75500000000,81000000000,75500000000,81000000000,
2.5mm,TRUE,119980000000,123000000000,119980000000,123000000000,119980000000,123000000000,
2mm,TRUE,134000000000,149000000000,134000000000,149000000000,134000000000,149000000000,
1mm,TRUE,241000000000,250000000000,241000000000,250000000000,241000000000,250000000000,
submm,TRUE,300000000000,7500000000000,300000000000,7500000000000,300000000000,7500000000000,
